Ref,Qty,Desc,Mfg,MPN
D1 D2,2,LED GRN/RED DIFF 3MM ROUND T/H,Kingbright,WP3VEGW
H1 H2 H3 H4,4,CONN HEADER 10POS .100 STR 15AU,Amphenol ICC (FCI),67997-210HLF
J1 J2 J3 J4 J5 J6 J7 J8 J9 J10,10,3.5MM JACK VERTICAL PCB MOUNT,Wenzhou QingPu,WQP-WQP518MA
P1 P3 P5 P7 P9,5,POT 9MM LINEAR B10K WHITE LINE,Song Huei,"R0904N-B10K,L-25KQ/LWS"
P2 P4 P6 P8 P10,5,POT 9MM LINEAR B10K WHITE LINE CENTER DETENT,Song Huei,"R0904N-B10K,L-25KQ/LWS/CC"
S1 S2,2,SWITCH TACTILE SPST-NO 0.05A 12V,E-Switch,TL1105DF160Q
